package_name,version,epoch,repository,languages,Programming language
jruby-9.4,9.4.8.0,1,https://github.com/jruby/jruby,"{'Ruby': 20060141, 'Java': 15601444, 'Yacc': 1012757, 'C': 287714, 'Shell': 38127, 'M4': 28128, 'Lex': 7856, 'HTML': 7845, 'Makefile': 3095, 'sed': 1893, 'Tcl': 1262, 'CSS': 686, 'JavaScript': 661, 'Batchfile': 518}",Ruby
jsoncpp,1.9.6,1,https://github.com/open-source-parsers/jsoncpp,"{'C++': 407275, 'Python': 57292, 'CMake': 25630, 'Meson': 4825, 'C': 4621, 'Makefile': 1132, 'Starlark': 930, 'Shell': 63, 'Perl': 60}",Python
jupyterhub-k8s-hub,3.3.8,0,https://github.com/jupyterhub/zero-to-jupyterhub-k8s,"{'Python': 64146, 'Smarty': 49998, 'Shell': 8605, 'Go': 7052, 'Dockerfile': 7038}",Python
jwt-tool,2.2.7,0,https://github.com/ticarpi/jwt_tool,"{'Python': 102641, 'Dockerfile': 190}",Python
k3s,1.31.1.1,0,https://github.com/k3s-io/k3s,"{'Go': 1399197, 'Shell': 187553, 'HCL': 12820, 'Ruby': 10032, 'Dockerfile': 1990, 'Makefile': 1163}",Ruby
k6,0.54.0,0,https://github.com/grafana/k6,"{'Go': 3071576, 'Python': 18724, 'Shell': 14880, 'JavaScript': 13886, 'Dockerfile': 2121, 'Makefile': 1584}",Python
k8s-sidecar,1.28.0,0,https://github.com/kiwigrid/k8s-sidecar,"{'Python': 37623, 'Dockerfile': 1198}",Python
kafka-3.8,3.8.0,4,https://github.com/apache/kafka,"{'Java': 51664892, 'Scala': 10028022, 'Python': 1259188, 'Shell': 137195, 'Batchfile': 39514, 'Roff': 39396, 'Dockerfile': 22519, 'XSLT': 7116, 'HTML': 3739}",Python
kaniko,1.23.2,2,https://github.com/GoogleContainerTools/kaniko,"{'Go': 708832, 'Shell': 24595, 'Dockerfile': 9904, 'Python': 5643, 'Makefile': 3945, 'Starlark': 2545}",Python
kargo,0.8.8,0,https://github.com/akuity/kargo,"{'Go': 2539886, 'TypeScript': 1992024, 'Makefile': 23614, 'JavaScript': 14284, 'Shell': 12169, 'Less': 10747, 'Starlark': 5036, 'Dockerfile': 4127, 'Mustache': 2720, 'CSS': 535, 'HTML': 365}",JavaScript
karpenter,1.0.6,0,https://github.com/aws/karpenter-provider-aws,"{'Go': 1712985, 'HTML': 364577, 'Shell': 184482, 'Makefile': 7998, 'Smarty': 5269, 'SCSS': 3619, 'Python': 3054, 'JavaScript': 1461}",Python
kdash,0.6.1,1,https://github.com/kdash-rs/kdash,"{'Rust': 348616, 'Shell': 3782, 'Python': 2795, 'Dockerfile': 1543, 'Makefile': 1136}",Python
keycloak-operator,26.0.0,0,https://github.com/keycloak/keycloak,"{'Java': 34174454, 'TypeScript': 3216674, 'FreeMarker': 271336, 'JavaScript': 134054, 'CSS': 42073, 'Shell': 35001, 'XSLT': 31908, 'HTML': 14257, 'mupad': 8593, 'Mustache': 5212, 'Groovy': 4915, 'Dockerfile': 4760, 'Batchfile': 2651, 'Fluent': 217}",JavaScript
keycloak,25.0.6,0,https://github.com/keycloak/keycloak,"{'Java': 34174454, 'TypeScript': 3216674, 'FreeMarker': 271336, 'JavaScript': 134054, 'CSS': 42073, 'Shell': 35001, 'XSLT': 31908, 'HTML': 14257, 'mupad': 8593, 'Mustache': 5212, 'Groovy': 4915, 'Dockerfile': 4760, 'Batchfile': 2651, 'Fluent': 217}",JavaScript
keydb,6.3.4,0,https://github.com/Snapchat/KeyDB,"{'C++': 4119959, 'C': 1662242, 'Tcl': 1195696, 'Shell': 46927, 'Makefile': 25639, 'Ruby': 24505, 'Dockerfile': 12026, 'Roff': 11543, 'Python': 9382, 'Assembly': 6935, 'Smarty': 1047}",Ruby
kiali,1.89.7,0,https://github.com/kiali/kiali,"{'TypeScript': 3757434, 'Go': 3657703, 'Shell': 768659, 'Gherkin': 215445, 'Makefile': 98406, 'SCSS': 41485, 'HTML': 2079, 'Dockerfile': 1565, 'Python': 246, 'JavaScript': 113}",Python
kind,0.24.0,1,https://github.com/kubernetes-sigs/kind,"{'Go': 683544, 'Shell': 90546, 'Dockerfile': 19305, 'Makefile': 7921, 'HTML': 7465, 'CSS': 7102, 'JavaScript': 2442}",JavaScript
kine,0.13.2,0,https://github.com/k3s-io/kine,"{'Go': 182032, 'Shell': 21872, 'Python': 8377, 'Dockerfile': 1591, 'Makefile': 704}",Python
kots,1.117.3,0,https://github.com/replicatedhq/kots,"{'Go': 4452083, 'TypeScript': 888789, 'JavaScript': 812323, 'SCSS': 169935, 'Shell': 53968, 'Makefile': 14380, 'HTML': 9301, 'CSS': 8429, 'Dockerfile': 459, 'EJS': 271}",JavaScript
kpt,1.0.0_beta49,11,https://github.com/GoogleContainerTools/kpt,"{'Go': 1582420, 'Shell': 166464, 'Makefile': 18795, 'JavaScript': 17978, 'Dockerfile': 3062, 'CSS': 2879, 'HTML': 2763, 'Ruby': 1173}",JavaScript
krb5,1.21.3,1,https://github.com/krb5/krb5.git,"{'C': 13762533, 'Python': 540671, 'C++': 397016, 'Roff': 349466, 'Makefile': 270531, 'HTML': 150104, 'M4': 87776, 'Shell': 76637, 'TeX': 65783, 'Yacc': 32937, 'Assembly': 30731, 'Perl': 29292, 'Raku': 18924, 'Awk': 8980, 'Emacs Lisp': 6797, 'RPC': 5977, 'CSS': 2937, 'Batchfile': 2734}",Python
kserve-modelmesh-serving,0.12.0,2,https://github.com/kserve/modelmesh-serving.git,"{'Go': 568202, 'Shell': 61589, 'Python': 7752, 'Makefile': 7411, 'Dockerfile': 2754}",Python
kserve-modelmesh,0.12.0,1,https://github.com/kserve/modelmesh.git,"{'Java': 1324348, 'Shell': 18445, 'Thrift': 6470, 'Dockerfile': 5363, 'Python': 2701}",Python
kserve,0.13.1,5,https://github.com/kserve/kserve,"{'Python': 3547831, 'Go': 1842925, 'Shell': 92058, 'Dockerfile': 29317, 'Makefile': 20711, 'Procfile': 44}",Python
kubeadm-bootstrap-controller,1.8.3,0,https://github.com/kubernetes-sigs/cluster-api,"{'Go': 11213174, 'Makefile': 80506, 'Shell': 80276, 'Python': 49933, 'Dockerfile': 13013, 'Smarty': 146}",Python
kubeadm-controlplane-controller,1.8.3,0,https://github.com/kubernetes-sigs/cluster-api,"{'Go': 11213174, 'Makefile': 80506, 'Shell': 80276, 'Python': 49933, 'Dockerfile': 13013, 'Smarty': 146}",Python
kubeflow-centraldashboard,1.9.1,0,https://github.com/kubeflow/kubeflow,"{'TypeScript': 1172047, 'Go': 328380, 'JavaScript': 220224, 'Python': 109656, 'HTML': 82732, 'Makefile': 66597, 'Dockerfile': 49043, 'CSS': 45168, 'SCSS': 30189, 'Pug': 16029, 'PowerShell': 7883, 'Shell': 4653}",JavaScript
kubeflow-jupyter-web-app,1.9.1,0,https://github.com/kubeflow/kubeflow,"{'TypeScript': 1172047, 'Go': 328380, 'JavaScript': 220224, 'Python': 109656, 'HTML': 82732, 'Makefile': 66597, 'Dockerfile': 49043, 'CSS': 45168, 'SCSS': 30189, 'Pug': 16029, 'PowerShell': 7883, 'Shell': 4653}",JavaScript
kubeflow-katib,0.17.0,4,https://github.com/kubeflow/katib,"{'Go': 786362, 'Python': 782394, 'TypeScript': 211560, 'HTML': 110567, 'Shell': 60282, 'Dockerfile': 11778, 'Makefile': 7549, 'SCSS': 4099, 'JavaScript': 1532, 'CSS': 224}",Python
kubeflow-pipelines-visualization-server,2.3.0,1,https://github.com/kubeflow/pipelines,"{'Python': 8160034, 'TypeScript': 4880320, 'Go': 2891575, 'JavaScript': 665263, 'Shell': 228439, 'Jupyter Notebook': 127466, 'Mustache': 47304, 'Dockerfile': 41759, 'Makefile': 26512, 'Smarty': 10741, 'MDX': 5260, 'HTML': 3656, 'PowerShell': 3194, 'CSS': 2443, 'Batchfile': 1364, 'Jinja': 938, 'Starlark': 553}",Python
kubeflow-pipelines,2.3.0,0,https://github.com/kubeflow/pipelines,"{'Python': 8160034, 'TypeScript': 4880320, 'Go': 2891575, 'JavaScript': 665263, 'Shell': 228439, 'Jupyter Notebook': 127466, 'Mustache': 47304, 'Dockerfile': 41759, 'Makefile': 26512, 'Smarty': 10741, 'MDX': 5260, 'HTML': 3656, 'PowerShell': 3194, 'CSS': 2443, 'Batchfile': 1364, 'Jinja': 938, 'Starlark': 553}",Python
kubeflow-volumes-web-app,1.9.1,0,https://github.com/kubeflow/kubeflow,"{'TypeScript': 1172047, 'Go': 328380, 'JavaScript': 220224, 'Python': 109656, 'HTML': 82732, 'Makefile': 66597, 'Dockerfile': 49043, 'CSS': 45168, 'SCSS': 30189, 'Pug': 16029, 'PowerShell': 7883, 'Shell': 4653}",JavaScript
kube-fluentd-operator,1.18.2,17,https://github.com/vmware/kube-fluentd-operator,"{'Go': 208093, 'Ruby': 12630, 'Makefile': 6442, 'Dockerfile': 3932, 'Shell': 2570, 'Mustache': 1380}",Ruby
kuberay-operator,1.2.2,0,https://github.com/ray-project/kuberay.git,"{'Go': 1441200, 'Python': 343482, 'Makefile': 23947, 'Shell': 14083, 'Mustache': 7173, 'Dockerfile': 4151, 'Smarty': 1882}",Python
kubernetes-1.31,1.31.1,0,https://github.com/kubernetes/kubernetes,"{'Go': 71801102, 'Shell': 1938190, 'PowerShell': 147507, 'Makefile': 64468, 'Dockerfile': 47300, 'Python': 18353, 'C': 4205, 'sed': 1262, 'Batchfile': 833, 'HTML': 106}",Python
kubernetes-csi-driver-hostpath,1.15.0,1,https://github.com/kubernetes-csi/csi-driver-host-path.git,"{'Go': 151913, 'Shell': 135869, 'Makefile': 14753, 'Python': 13570, 'Dockerfile': 888}",Python
kubernetes-csi-external-attacher-4.3,4.3.0,20,https://github.com/kubernetes-csi/external-attacher,"{'Go': 188314, 'Shell': 104830, 'Makefile': 14800, 'Python': 13570, 'Dockerfile': 206}",Python
kubernetes-csi-external-attacher-4.4,4.4.4,7,https://github.com/kubernetes-csi/external-attacher,"{'Go': 188314, 'Shell': 104830, 'Makefile': 14800, 'Python': 13570, 'Dockerfile': 206}",Python
kubernetes-csi-external-attacher,4.7.0,0,https://github.com/kubernetes-csi/external-attacher,"{'Go': 188314, 'Shell': 104830, 'Makefile': 14800, 'Python': 13570, 'Dockerfile': 206}",Python
kubernetes-csi-external-provisioner,5.1.0,2,https://github.com/kubernetes-csi/external-provisioner,"{'Go': 627427, 'Shell': 107096, 'Makefile': 14775, 'Python': 13570, 'Dockerfile': 397, 'Ruby': 200}",Python
kubernetes-csi-external-resizer-1.10,1.10.1,8,https://github.com/kubernetes-csi/external-resizer,"{'Go': 234729, 'Shell': 103982, 'Makefile': 14751, 'Python': 13570, 'Dockerfile': 202}",Python
kubernetes-csi-external-resizer,1.12.0,0,https://github.com/kubernetes-csi/external-resizer,"{'Go': 234729, 'Shell': 103982, 'Makefile': 14751, 'Python': 13570, 'Dockerfile': 202}",Python
kubernetes-csi-external-snapshotter-8.1,8.1.0,0,https://github.com/kubernetes-csi/external-snapshotter,"{'Go': 868232, 'Shell': 114497, 'Makefile': 15475, 'Python': 13570, 'Dockerfile': 708}",Python
kubernetes-csi-livenessprobe,2.14.0,2,https://github.com/kubernetes-csi/livenessprobe,"{'Shell': 105573, 'Go': 15471, 'Makefile': 14773, 'Python': 13570, 'Dockerfile': 802}",Python
kubernetes-csi-node-driver-registrar-2.12,2.12.0,1,https://github.com/kubernetes-csi/node-driver-registrar,"{'Shell': 103983, 'Go': 25764, 'Makefile': 14826, 'Python': 13570, 'Dockerfile': 249}",Python
kubernetes-dashboard,7.7.0,0,https://github.com/kubernetes/dashboard,"{'Go': 1153880, 'TypeScript': 823093, 'HTML': 455977, 'SCSS': 69500, 'Makefile': 34608, 'Dockerfile': 20660, 'Shell': 15138, 'Smarty': 4323, 'JavaScript': 2045}",JavaScript
kubernetes-dns-node-cache,1.23.1,4,https://github.com/kubernetes/dns,"{'Go': 277032, 'Makefile': 19239, 'Python': 9540, 'Shell': 5624}",Python
kubescape,3.0.17,0,https://github.com/kubescape/kubescape,"{'Go': 1434070, 'Python': 7518, 'Shell': 2612, 'PowerShell': 1527, 'Dockerfile': 867, 'Makefile': 147}",Python
kuma-2.8,2.8.3,0,https://github.com/kumahq/kuma,"{'Go': 10107565, 'Makefile': 72390, 'Shell': 36711, 'Mustache': 15414, 'JavaScript': 7515, 'HTML': 4958, 'Dockerfile': 4711, 'PLpgSQL': 2025, 'CSS': 978}",JavaScript
ldns,1.8.4,0,https://github.com/NLnetLabs/ldns.git,"{'C': 1570451, 'SWIG': 348631, 'Python': 274280, 'M4': 137185, 'Makefile': 96882, 'Shell': 47041, 'Roff': 36153, 'Vim Script': 19597, 'Lua': 9743, 'NewLisp': 1867, 'Perl': 1834, 'Emacs Lisp': 125}",Python
lean4,4.11.0,0,https://github.com/leanprover/lean4,"{'Lean': 14444325, 'C++': 1775541, 'Shell': 81208, 'CMake': 58714, 'Nix': 32037, 'Python': 24675, 'Swift': 18233, 'OCaml': 15982, 'Standard ML': 15693, 'Haskell': 15166, 'Makefile': 14651, 'C': 4045}",Python
lerc,4.0.0,1,https://github.com/Esri/lerc,"{'C++': 368677, 'C#': 44863, 'Python': 43106, 'C': 28469, 'TypeScript': 17862, 'HTML': 14253, 'JavaScript': 5982, 'CMake': 1940}",Python
less,668,0,https://github.com/gwsw/less,"{'C': 827864, 'Perl': 32576, 'M4': 23489, 'Makefile': 4958, 'Shell': 3185, 'Python': 1004}",Python
libapr,1.7.5,0,https://github.com/apache/apr,"{'C': 5352026, 'M4': 169244, 'Python': 45434, 'C++': 42281, 'Shell': 32463, 'CMake': 25711, 'BitBake': 21379, 'Raku': 17574, 'Makefile': 14607, 'Awk': 13594, 'Perl': 12689, 'Batchfile': 137}",Python
libavif,1.1.1,0,https://github.com/AOMediaCodec/libavif.git,"{'C': 1442141, 'C++': 597324, 'CMake': 125256, 'Shell': 66172, 'Java': 20981, 'Batchfile': 13674, 'CoffeeScript': 7089, 'Python': 912}",Python
libcap-ng,0.8.5,1,https://github.com/stevegrubb/libcap-ng.git,"{'C': 87876, 'Makefile': 11063, 'M4': 8574, 'Roff': 5712, 'Python': 2255, 'SWIG': 1202, 'Shell': 120}",Python
libcbor,0.11.0,1,https://github.com/PJK/libcbor,"{'C': 408611, 'CMake': 20645, 'Shell': 4190, 'C++': 2459, 'Python': 1849, 'Ruby': 439}",Python
libcmis,0.6.2,0,https://github.com/tdf/libcmis,"{'C++': 1329217, 'M4': 92091, 'C': 61777, 'Makefile': 12711, 'Python': 4726, 'Shell': 4412, 'HTML': 2130}",Python
libdeflate,1.19,1,https://github.com/ebiggers/libdeflate,"{'C': 653424, 'Shell': 37677, 'CMake': 19140, 'Python': 2756}",Python
libeconf,0.7.4,0,https://github.com/openSUSE/libeconf,"{'C': 293879, 'Python': 59005, 'C#': 42829, 'Roff': 18147, 'Meson': 15390, 'CMake': 7564, 'Shell': 3800}",Python
libepoxy,1.5.10,2,https://github.com/anholt/libepoxy,"{'C': 150946, 'Python': 40247, 'Meson': 19597, 'Emacs Lisp': 81}",Python
libevent,2.1.12,6,https://github.com/libevent/libevent.git,"{'C': 2661284, 'Roff': 118545, 'CMake': 113161, 'M4': 76957, 'Python': 67481, 'Shell': 17395, 'Makefile': 10291, 'sed': 731, 'Vim Script': 304}",Python
libffi,3.4.6,4,https://github.com/libffi/libffi.git,"{'C': 1617984, 'Assembly': 486822, 'M4': 85181, 'Shell': 76183, 'Makefile': 14847, 'Python': 13882, 'Perl': 9021, 'C++': 6940, 'HTML': 102}",Python
libgit2,1.8.1,1,https://github.com/libgit2/libgit2,"{'C': 8101314, 'CMake': 78937, 'Shell': 41254, 'Python': 16847}",Python
libgphoto2,2.5.31,0,https://github.com/gphoto/libgphoto2,"{'C': 6000096, 'M4': 192008, 'Perl': 56562, 'Makefile': 40837, 'Shell': 24209, 'HTML': 24085, 'Python': 17039, 'C++': 734}",Python
libhtp,0.5.49,0,https://github.com/OISF/libhtp,"{'C++': 1380964, 'C': 934631, 'M4': 60739, 'Raku': 25485, 'Ruby': 10480, 'PHP': 7792, 'Makefile': 4407, 'Shell': 712, 'Python': 506, 'Perl': 280}",Ruby
libjpeg-turbo,3.0.4,0,https://github.com/libjpeg-turbo/libjpeg-turbo,"{'C': 3378288, 'Assembly': 1683277, 'HTML': 527424, 'Java': 320804, 'CMake': 160995, 'C++': 48392, 'Shell': 34295, 'CSS': 22360, 'JavaScript': 19458}",JavaScript
libmamba,2024.08.31,1,https://github.com/mamba-org/mamba,"{'C++': 3837204, 'Python': 428979, 'CMake': 60129, 'Shell': 20543, 'HTML': 9652, 'Smarty': 8406, 'PowerShell': 5924, 'Xonsh': 3636, 'Batchfile': 3615}",Python
libmodbus,3.1.10,0,https://github.com/stephane/libmodbus,"{'C': 222613, 'JavaScript': 5540, 'M4': 5067, 'Makefile': 2591, 'Shell': 687}",JavaScript
libnet,1.3,2,https://github.com/libnet/libnet.git,"{'C': 664155, 'M4': 51476, 'Makefile': 6515, 'Shell': 3774, 'Batchfile': 3372, 'Dockerfile': 2430, 'Ruby': 474}",Ruby
libnl3,3.10.0,1,https://github.com/thom311/libnl.git,"{'C': 3005724, 'Python': 173357, 'SWIG': 50720, 'Makefile': 37879, 'Shell': 20301, 'Yacc': 13048, 'M4': 5935, 'Lex': 5256}",Python
libnotify,0.8.3,3,https://github.com/GNOME/libnotify,"{'C': 180273, 'Meson': 6198, 'Python': 1693}",Python
libpcap,1.10.5,0,https://github.com/the-tcpdump-group/libpcap.git,"{'C': 2275028, 'Roff': 192679, 'CMake': 164338, 'M4': 90792, 'Shell': 47589, 'Makefile': 38349, 'Lex': 19315, 'Python': 10732}",Python
libpng,1.6.44,0,https://github.com/pnggroup/libpng,"{'C': 2878879, 'Shell': 481246, 'Roff': 268671, 'Makefile': 145851, 'CMake': 60785, 'Awk': 43087, 'M4': 24525, 'Python': 17846, 'DIGITAL Command Language': 10718, 'C++': 6699, 'Batchfile': 4200, 'Assembly': 2199, 'Module Management System': 2082, 'Dockerfile': 988}",Python
libpsl,0.21.5,3,https://github.com/rockdaboot/libpsl.git,"{'C': 117033, 'Python': 33297, 'M4': 29599, 'Makefile': 22945, 'Shell': 16089, 'Meson': 10073, 'Roff': 3914, 'Batchfile': 805, 'Emacs Lisp': 210}",Python
libpulsar,3.6.0,0,https://github.com/apache/pulsar-client-cpp,"{'C++': 2524793, 'C': 89840, 'Shell': 47534, 'CMake': 44088, 'Dockerfile': 10893, 'Python': 7400}",Python
librdkafka,2.3.0,3,https://github.com/confluentinc/librdkafka,"{'C': 8184414, 'C++': 714418, 'Shell': 161924, 'Python': 112218, 'CMake': 31355, 'Makefile': 16822, 'Java': 13004, 'PowerShell': 4255, 'jq': 1065, 'Batchfile': 678, 'Emacs Lisp': 305, 'GDB': 199}",Python
librelp,1.11.0,0,https://github.com/rsyslog/librelp,"{'C': 378797, 'Shell': 38398, 'M4': 9016, 'Makefile': 3439, 'Python': 1126}",Python
libreoffice-24.2,24.2.5.2,2,https://github.com/LibreOffice/core,"{'C++': 268131784, 'Java': 16938008, 'Python': 5660769, 'Makefile': 4884864, 'XSLT': 4734414, 'Rich Text Format': 4285640, 'Perl': 1628705, 'JavaScript': 771180, 'HTML': 690733, 'M4': 631028, 'C#': 431979, 'C': 375114, 'Shell': 339733, 'Visual Basic .NET': 266373, 'VBA': 182309, 'Objective-C': 168349, 'Yacc': 119664, 'CSS': 50941, 'Assembly': 45043, 'Awk': 41903, 'Scilab': 41378, 'PostScript': 36882, 'Visual Basic 6.0': 34384, 'Pawn': 21532, 'Roff': 18360, 'Pascal': 17444, 'VBScript': 11064, 'Batchfile': 7701, 'AppleScript': 6993, 'Starlark': 5402, 'F#': 5150, 'AMPL': 3010, 'Prolog': 1956, 'Dockerfile': 813, 'NWScript': 289, 'Vim Snippet': 181, 'Objective-C++': 106, 'sed': 79}",Python
libsdl2,2.30.8,0,https://github.com/libsdl-org/SDL,"{'C': 34136671, 'C++': 1616886, 'Objective-C': 944498, 'CMake': 445683, 'Java': 204605, 'Perl': 190223, 'Python': 179658, 'SmPL': 64116, 'Shell': 36595, 'HLSL': 27394, 'M4': 25544, 'Metal': 13690, 'Makefile': 11113, 'Batchfile': 4831, 'C#': 3707, 'GLSL': 2370, 'JavaScript': 1960, 'Meson': 894, 'Swift': 270}",Python
libsodium,1.0.20,0,https://github.com/jedisct1/libsodium.git,"{'C': 4945219, 'M4': 86713, 'Shell': 80516, 'Assembly': 67499, 'Makefile': 31026, 'Smarty': 24576, 'Zig': 11049, 'Python': 6948, 'Batchfile': 6676, 'C#': 1924, 'C++': 563, 'VBScript': 294}",Python
libsrt,1.5.3,2,https://github.com/Haivision/srt,"{'C++': 2729040, 'C': 190346, 'CMake': 106023, 'Tcl': 39345, 'Lua': 37704, 'PowerShell': 34453, 'Shell': 9715, 'NSIS': 7197, 'Python': 3076, 'Batchfile': 1759, 'Vim Script': 873}",Python
libtbb,2021.13.0,1,https://github.com/oneapi-src/oneTBB,"{'C++': 5493149, 'C': 459388, 'CMake': 137606, 'Python': 51596, 'Starlark': 5690, 'SWIG': 5111, 'Batchfile': 2347, 'Shell': 1839}",Python
libuv,1.49.0,0,https://github.com/libuv/libuv.git,"{'C': 3035070, 'M4': 36963, 'CMake': 28591, 'Makefile': 21931, 'Python': 2623, 'Shell': 2489, 'Batchfile': 1312}",Python
libvips,8.15.3,1,https://github.com/libvips/libvips,"{'C': 5623557, 'C++': 584867, 'Python': 215152, 'Meson': 64276, 'Shell': 27002}",Python
libvncserver,0.9.14,4,https://github.com/LibVNC/libvncserver,"{'C': 1738562, 'CMake': 44538, 'Perl': 12888, 'C++': 8404, 'Python': 6802, 'Shell': 385}",Python
libwebp,1.4.0,4,https://github.com/webmproject/libwebp,"{'C': 4148114, 'C++': 63048, 'Shell': 47053, 'CMake': 46862, 'M4': 42895, 'Makefile': 27780, 'Python': 26865, 'HTML': 4478, 'Go': 1235}",Python
libwebsockets,4.3.3,3,https://github.com/warmcat/libwebsockets,"{'C': 20141861, 'CMake': 508085, 'JavaScript': 162773, 'C++': 137727, 'Makefile': 67610, 'Shell': 49807, 'HTML': 45100, 'CSS': 24110, 'Java': 23413, 'Roff': 6080, 'NSIS': 4939, 'Standard ML': 1006}",JavaScript
libxcrypt,4.4.36,7,https://github.com/besser82/libxcrypt,"{'C': 1683426, 'M4': 79520, 'Perl': 65459, 'Python': 36427, 'Makefile': 20539, 'Shell': 7339}",Python
linux-headers,6.6.29,1,https://github.com/gregkh/linux,"{'C': 1323436170, 'Assembly': 9534412, 'Shell': 4974222, 'Python': 2900951, 'Makefile': 2686089, 'Perl': 1257730, 'Rust': 673939, 'Roff': 199365, 'C++': 175340, 'SmPL': 165946, 'Yacc': 128180, 'Lex': 71692, 'Awk': 69539, 'Jinja': 28439, 'UnrealScript': 16848, 'Gherkin': 10324, 'M4': 3329, 'MATLAB': 2482, 'sed': 2435, 'Clojure': 2298, 'XS': 1239, 'RPC': 962}",Python
litestream,0.3.13,5,https://github.com/benbjohnson/litestream,"{'Go': 315817, 'Makefile': 1724, 'Python': 911, 'Dockerfile': 511, 'PowerShell': 467, 'HCL': 288}",Python
llvm15,15.0.7,7,https://github.com/llvm/llvm-project,"{'LLVM': 516703684, 'C++': 455443706, 'C': 192298917, 'Assembly': 127165909, 'MLIR': 17803769, 'Python': 12123348, 'Fortran': 10145351, 'Objective-C': 4472361, 'CMake': 3795765, 'FIRRTL': 2938234, 'HTML': 1953735, 'Starlark': 1095511, 'Objective-C++': 1093478, 'Cuda': 927171, 'HLSL': 681099, 'OCaml': 333884, 'SWIG': 272712, 'Shell': 272509, 'Perl': 183561, 'JavaScript': 161240, 'Scilab': 160404, 'Awk': 127345, 'Makefile': 107512, 'Jupyter Notebook': 72939, 'Roff': 59471, 'Emacs Lisp': 58637, 'CSS': 55649, 'Batchfile': 51495, 'Julia': 49676, 'TypeScript': 39180, 'NASL': 35217, 'Vim Script': 28286, 'Dockerfile': 22359, 'Pawn': 14191, 'Lua': 11920, 'M': 9785, 'Cool': 9532, 'GDB': 8473, 'Scheme': 6195, 'Rust': 5103, 'TeX': 2141, 'MATLAB': 2013, 'POV-Ray SDL': 1631, 'AMPL': 1512, 'AppleScript': 1429, 'Mathematica': 929, 'RenderScript': 812, 'DTrace': 334, 'Limbo': 303, 'Swift': 271, 'PHP': 64, 'Pascal': 64, 'RPC': 28, 'Mercury': 14}",Python
llvm16,16.0.6,3,https://github.com/llvm/llvm-project,"{'LLVM': 516703684, 'C++': 455443706, 'C': 192298917, 'Assembly': 127165909, 'MLIR': 17803769, 'Python': 12123348, 'Fortran': 10145351, 'Objective-C': 4472361, 'CMake': 3795765, 'FIRRTL': 2938234, 'HTML': 1953735, 'Starlark': 1095511, 'Objective-C++': 1093478, 'Cuda': 927171, 'HLSL': 681099, 'OCaml': 333884, 'SWIG': 272712, 'Shell': 272509, 'Perl': 183561, 'JavaScript': 161240, 'Scilab': 160404, 'Awk': 127345, 'Makefile': 107512, 'Jupyter Notebook': 72939, 'Roff': 59471, 'Emacs Lisp': 58637, 'CSS': 55649, 'Batchfile': 51495, 'Julia': 49676, 'TypeScript': 39180, 'NASL': 35217, 'Vim Script': 28286, 'Dockerfile': 22359, 'Pawn': 14191, 'Lua': 11920, 'M': 9785, 'Cool': 9532, 'GDB': 8473, 'Scheme': 6195, 'Rust': 5103, 'TeX': 2141, 'MATLAB': 2013, 'POV-Ray SDL': 1631, 'AMPL': 1512, 'AppleScript': 1429, 'Mathematica': 929, 'RenderScript': 812, 'DTrace': 334, 'Limbo': 303, 'Swift': 271, 'PHP': 64, 'Pascal': 64, 'RPC': 28, 'Mercury': 14}",Python
llvm17,17.0.6,2,https://github.com/llvm/llvm-project,"{'LLVM': 516703684, 'C++': 455443706, 'C': 192298917, 'Assembly': 127165909, 'MLIR': 17803769, 'Python': 12123348, 'Fortran': 10145351, 'Objective-C': 4472361, 'CMake': 3795765, 'FIRRTL': 2938234, 'HTML': 1953735, 'Starlark': 1095511, 'Objective-C++': 1093478, 'Cuda': 927171, 'HLSL': 681099, 'OCaml': 333884, 'SWIG': 272712, 'Shell': 272509, 'Perl': 183561, 'JavaScript': 161240, 'Scilab': 160404, 'Awk': 127345, 'Makefile': 107512, 'Jupyter Notebook': 72939, 'Roff': 59471, 'Emacs Lisp': 58637, 'CSS': 55649, 'Batchfile': 51495, 'Julia': 49676, 'TypeScript': 39180, 'NASL': 35217, 'Vim Script': 28286, 'Dockerfile': 22359, 'Pawn': 14191, 'Lua': 11920, 'M': 9785, 'Cool': 9532, 'GDB': 8473, 'Scheme': 6195, 'Rust': 5103, 'TeX': 2141, 'MATLAB': 2013, 'POV-Ray SDL': 1631, 'AMPL': 1512, 'AppleScript': 1429, 'Mathematica': 929, 'RenderScript': 812, 'DTrace': 334, 'Limbo': 303, 'Swift': 271, 'PHP': 64, 'Pascal': 64, 'RPC': 28, 'Mercury': 14}",Python
